Time ms,Process:PID,RSS KB
20,setup_bridge.sh:8048,1132
20,setup_bridge.sh:8048,424
21,setup_bridge.sh:8048,3180
21,setup_bridge.sh:8048,3180
21,setup_bridge.sh:8048,3180
22,setup_bridge.sh:8048,3180
22,setup_bridge.sh:8048,3180
23,setup_bridge.sh:8048,3180
23,setup_bridge.sh:8048,3180
23,setup_bridge.sh:8048,3180
23,setup_bridge.sh:8048,3180
24,setup_bridge.sh:8048,3180
28,setup_bridge.sh:8048,3216
29,setup_bridge.sh:8048,3216
30,setup_bridge.sh:8048,3216
31,setup_bridge.sh:8048,3216
32,setup_bridge.sh:8048,3216
33,setup_bridge.sh:8048,3216
41,setup_bridge.sh:8048,3216
42,setup_bridge.sh:8048,3216
43,setup_bridge.sh:8048,3216
43,setup_bridge.sh:8048,3216
45,setup_bridge.sh:8048,3216
45,setup_bridge.sh:8048,3216
46,setup_bridge.sh:8048,3216
47,setup_bridge.sh:8048,3216
48,setup_bridge.sh:8048,3216
48,setup_bridge.sh:8048,3216
49,setup_bridge.sh:8048,3216
49,setup_bridge.sh:8048,3216
50,setup_bridge.sh:8048,3216
50,setup_bridge.sh:8048,3216
51,setup_bridge.sh:8048,3216
51,setup_bridge.sh:8048,3216
51,setup_bridge.sh:8048,3216
55,setup_bridge.sh:8048,3216
56,setup_bridge.sh:8048,3216
57,setup_bridge.sh:8048,3216
57,setup_bridge.sh:8048,3216
58,setup_bridge.sh:8048,3216
59,setup_bridge.sh:8048,3216
60,setup_bridge.sh:8048,3216
60,setup_bridge.sh:8048,3216
61,setup_bridge.sh:8048,3216
62,setup_bridge.sh:8048,3216
63,setup_bridge.sh:8048,3216
63,setup_bridge.sh:8048,3216
64,setup_bridge.sh:8048,3216
65,setup_bridge.sh:8048,3216
65,setup_bridge.sh:8048,3216
66,setup_bridge.sh:8048,3216
70,setup_bridge.sh:8048,3216
71,setup_bridge.sh:8048,3216
73,setup_bridge.sh:8048,3216
74,setup_bridge.sh:8048,3216
75,setup_bridge.sh:8048,3216
75,setup_bridge.sh:8048,3216
76,setup_bridge.sh:8048,3216
77,setup_bridge.sh:8048,3216
78,setup_bridge.sh:8048,3216
79,setup_bridge.sh:8048,3216
79,setup_bridge.sh:8048,3216
80,setup_bridge.sh:8048,3216
81,setup_bridge.sh:8048,3216
81,setup_bridge.sh:8048,3216
82,setup_bridge.sh:8048,3216
83,setup_bridge.sh:8048,3216
83,setup_bridge.sh:8048,3216
84,setup_bridge.sh:8048,3216
85,setup_bridge.sh:8048,3216
87,setup_bridge.sh:8048,3216
88,setup_bridge.sh:8048,3216
