Time ms,Process:PID,RSS KB
247,setup_x11.sh:8089,4
248,setup_x11.sh:8089,1180
249,setup_x11.sh:8089,1180
250,setup_x11.sh:8089,3288
251,setup_x11.sh:8089,3288
252,setup_x11.sh:8089,3288
253,setup_x11.sh:8089,3288
254,setup_x11.sh:8089,3288
257,setup_x11.sh:8089,3288
259,setup_x11.sh:8089,3288
260,setup_x11.sh:8089,3324
261,setup_x11.sh:8089,3324
262,setup_x11.sh:8089,3324
264,setup_x11.sh:8089,3324
265,setup_x11.sh:8089,3324
267,setup_x11.sh:8089,3324
268,setup_x11.sh:8089,3324
269,setup_x11.sh:8089,3324
271,setup_x11.sh:8089,3324
272,setup_x11.sh:8089,3324
274,setup_x11.sh:8089,3324
275,setup_x11.sh:8089,3324
276,setup_x11.sh:8089,3324
277,setup_x11.sh:8089,3324
279,setup_x11.sh:8089,3324
