Time ms,Process:PID,RSS KB
5761,teardown_bridge:8184,4
5761,teardown_bridge:8184,504
5762,teardown_bridge:8184,1184
5762,teardown_bridge:8184,1184
5763,teardown_bridge:8184,3112
5764,teardown_bridge:8184,3112
5764,teardown_bridge:8184,3112
5765,teardown_bridge:8184,3112
5766,teardown_bridge:8184,3112
5767,teardown_bridge:8184,3112
5768,teardown_bridge:8184,3112
5769,teardown_bridge:8184,3112
5770,teardown_bridge:8184,3112
5770,teardown_bridge:8184,3112
5773,teardown_bridge:8184,3112
5774,teardown_bridge:8184,3112
5775,teardown_bridge:8184,3112
5775,teardown_bridge:8184,3112
5775,teardown_bridge:8184,3112
5776,teardown_bridge:8184,3112
5776,teardown_bridge:8184,3112
5777,teardown_bridge:8184,3112
5778,teardown_bridge:8184,3112
5778,teardown_bridge:8184,3112
5779,teardown_bridge:8184,3112
5780,teardown_bridge:8184,3112
5780,teardown_bridge:8184,3112
5781,teardown_bridge:8184,3112
5782,teardown_bridge:8184,3112
5783,teardown_bridge:8184,3112
5784,teardown_bridge:8184,3112
5784,teardown_bridge:8184,3112
5785,teardown_bridge:8184,3112
5786,teardown_bridge:8184,3112
5787,teardown_bridge:8184,3112
5788,teardown_bridge:8184,3112
5790,teardown_bridge:8184,3112
5791,teardown_bridge:8184,3112
5792,teardown_bridge:8184,3112
5792,teardown_bridge:8184,3112
5793,teardown_bridge:8184,3112
5794,teardown_bridge:8184,3112
5795,teardown_bridge:8184,3112
5796,teardown_bridge:8184,3112
5797,teardown_bridge:8184,3112
5799,teardown_bridge:8184,3112
5800,teardown_bridge:8184,3112
5801,teardown_bridge:8184,3112
5801,teardown_bridge:8184,3112
5802,teardown_bridge:8184,3112
5803,teardown_bridge:8184,3112
5803,teardown_bridge:8184,3112
5804,teardown_bridge:8184,3112
5805,teardown_bridge:8184,3112
5806,teardown_bridge:8184,3112
5806,teardown_bridge:8184,3112
5807,teardown_bridge:8184,3196
5808,teardown_bridge:8184,3196
5809,teardown_bridge:8184,3196
5811,teardown_bridge:8184,3196
5813,teardown_bridge:8184,3196
5814,teardown_bridge:8184,3196
5815,teardown_bridge:8184,3196
5816,teardown_bridge:8184,3196
5816,teardown_bridge:8184,3196
5817,teardown_bridge:8184,3196
5818,teardown_bridge:8184,3196
5818,teardown_bridge:8184,3196
5819,teardown_bridge:8184,3196
5820,teardown_bridge:8184,3196
5821,teardown_bridge:8184,3196
5821,teardown_bridge:8184,3196
5822,teardown_bridge:8184,3196
